customer_id,name,email,phone,country,city,customer_segment,date_of_birth,created_at,updated_at
bc8960a9-23b8-41e9-b924-56de3eb13b90,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,CA,Robinsonshire,retail,1959-10-12,2020-02-21T00:00:00+00:00,2023-03-23T00:00:00+00:00
3b8faa18-37f8-488b-97fc-695a07a0ca6e,Sean Blake,helenpeterson@example.org,651.216.1559,US,Herrerafurt,retail,2006-04-29,2022-05-14T00:00:00+00:00,2022-07-18T00:00:00+00:00
47378190-96da-4dac-b2ff-5d2a386ecbe0,Edward Fuller,barbara10@example.net,441.731.6475,DE,Jasonview,business,2008-02-15,2023-08-23T00:00:00+00:00,2025-12-29T00:00:00+00:00
371ecd7b-27cd-4130-8722-9389571aa876,Melinda Jones,amandasanchez@example.com,(748)535-0305x6413,AU,Fostermouth,student,1978-07-05,2020-11-22T00:00:00+00:00,2025-08-19T00:00:00+00:00
9a8dca03-580d-4b71-98f5-64135be6128e,Charles Mcgee,julie69@example.com,(332)887-1012x269,US,Carlsonmouth,retail,2004-10-22,2022-02-17T00:00:00+00:00,2022-09-03T00:00:00+00:00
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,Tricia Valencia,frazierdanny@example.net,001-645-514-6270x48281,AU,West Kathryn,premium,1952-04-22,2023-01-03T00:00:00+00:00,2023-09-15T00:00:00+00:00
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,Paula Moreno,georgetracy@example.org,(443)903-9117x182,DE,West Allison,premium,1982-09-29,2022-01-10T00:00:00+00:00,2025-04-06T00:00:00+00:00
7412b293-4729-4739-a14f-f3d719db3ad0,Tracey Hickman,jenniferross@example.net,+1-557-587-1331x5098,ZA,North Jeanton,premium,1975-12-23,2021-04-21T00:00:00+00:00,2026-02-28T00:00:00+00:00
efc89849-b3aa-4efe-8458-a885ab9099a4,Taylor Heath,palmerjoshua@example.com,582.399.7376,US,Lake Ryanchester,premium,2002-04-20,2021-12-28T00:00:00+00:00,2023-03-02T00:00:00+00:00
451b4cf3-6123-4df7-b656-af7229d4beef,Scott Brown,brownjessica@example.org,933.587.2624,DE,South Lindseyside,student,1958-09-27,2020-12-16T00:00:00+00:00,2023-09-14T00:00:00+00:00
